len_x, len_y, time
502,1154,0.21858152220997
753,1154,0.2734974884899566
502,1154,0.22709345980007128
753,1154,0.26584057127005506
502,1154,0.002554198669986363
753,1154,0.002618495400001848
502,1154,0.002258591970003181
753,1154,0.00259588248
502,1154,0.0027066474400089646
753,1154,0.002639661849989352
502,1154,0.0023210827200091442
753,1154,0.002695388659994933
502,1154,0.0024935139899935166
753,1154,0.002745603259991185
502,1154,0.0021959515400158127
753,1154,0.002447754690001602
502,1154,0.0023235607300011907
753,1154,0.002596935809997376
502,1154,0.002367965590001404
753,1154,0.002679678550011886
