len_x, len_y, time

502,1154,5.607459237679995
753,1154,7.175203679229871
502,1154,0.029452486609989136
753,1154,0.03949019474999659
502,1154,0.0297797694899964
753,1154,0.040302208759985664
502,1154,0.03509004350999021
753,1154,0.042660165859997504
502,1154,0.03087905514999875
753,1154,0.041780043599992496
502,1154,0.033614499399991477
753,1154,0.045480712469998255
502,1154,0.032028445879986975
753,1154,0.040402363360008166
502,1154,0.01105657688996871
753,1154,0.020459632290003357
502,1154,0.03995874105999974
753,1154,0.0525457072500285
