time,ax,ay,az,wx,wy,wz
43.848507,-0.0354,-0.1486,-0.1630,-0.0117,-0.0098,-0.0011
43.896271,-0.0354,-0.1486,-0.1630,-0.0117,-0.0098,-0.0011
43.899094,0.0950,-0.1304,-0.1431,-0.0117,-0.0098,-0.0011
43.916123,0.0950,-0.1304,-0.1431,-0.0208,-0.0356,-0.0126
43.965161,0.0950,-0.1304,-0.1431,-0.0208,-0.0356,-0.0126
43.967596,0.0078,-0.0803,-0.1225,-0.0208,-0.0356,-0.0126
43.983164,0.0078,-0.0803,-0.1225,0.0101,0.0099,0.0088
44.031594,0.0078,-0.0803,-0.1225,0.0101,0.0099,0.0088
44.036621,0.0303,-0.1690,0.0866,0.0101,0.0099,0.0088
44.050080,0.0303,-0.1690,0.0866,0.0133,-0.0126,0.0036
44.101854,0.0303,-0.1690,0.0866,0.0133,-0.0126,0.0036
44.104901,0.0394,-0.1283,-0.0750,0.0133,-0.0126,0.0036
44.118935,0.0394,-0.1283,-0.0750,0.0229,-0.0283,0.0020
44.166577,0.0394,-0.1283,-0.0750,0.0229,-0.0283,0.0020
44.170296,0.0499,-0.1381,-0.0825,0.0229,-0.0283,0.0020
44.187717,0.0499,-0.1381,-0.0825,0.0037,-0.0098,-0.0004
44.240494,0.0499,-0.1381,-0.0825,0.0037,-0.0098,-0.0004
44.243796,0.0827,-0.1237,-0.0915,0.0037,-0.0098,-0.0004
44.253889,0.0827,-0.1237,-0.0915,0.0010,-0.0218,-0.0064
44.304094,0.0827,-0.1237,-0.0915,0.0010,-0.0218,-0.0064
44.308077,0.0312,-0.1324,-0.1292,0.0010,-0.0218,-0.0064
44.321915,0.0312,-0.1324,-0.1292,-0.0021,-0.0077,-0.0036
44.371393,0.0312,-0.1324,-0.1292,-0.0021,-0.0077,-0.0036
44.374657,0.0315,-0.1198,-0.0469,-0.0021,-0.0077,-0.0036
44.389495,0.0315,-0.1198,-0.0469,0.0349,-0.1594,-0.0009
44.437966,0.0315,-0.1198,-0.0469,0.0349,-0.1594,-0.0009
44.441493,-0.1561,-0.1514,-0.0435,0.0349,-0.1594,-0.0009
44.457623,-0.1561,-0.1514,-0.0435,0.2107,-0.8385,0.0088
44.508141,-0.1561,-0.1514,-0.0435,0.2107,-0.8385,0.0088
44.510589,-0.7740,-0.3528,0.0138,0.2107,-0.8385,0.0088
44.525791,-0.7740,-0.3528,0.0138,0.3183,-1.3952,0.2073
44.583728,-0.7740,-0.3528,0.0138,0.3183,-1.3952,0.2073
44.587341,-1.2301,-0.4700,-0.1731,0.3183,-1.3952,0.2073
44.603559,-1.2301,-0.4700,-0.1731,0.2325,-1.6465,0.2523
44.641311,-1.2301,-0.4700,-0.1731,0.2325,-1.6465,0.2523
44.648315,-0.4800,-0.1919,-0.2451,0.2325,-1.6465,0.2523
44.670451,-0.4800,-0.1919,-0.2451,0.3489,-2.4124,0.1692
44.720996,-0.4800,-0.1919,-0.2451,0.3489,-2.4124,0.1692
44.724583,-0.4522,-0.1158,-0.1136,0.3489,-2.4124,0.1692
44.738770,-0.4522,-0.1158,-0.1136,0.4840,-3.3282,0.0758
44.790266,-0.4522,-0.1158,-0.1136,0.4840,-3.3282,0.0758
44.792509,-0.1950,-0.1351,-0.0049,0.4840,-3.3282,0.0758
44.807547,-0.1950,-0.1351,-0.0049,0.3707,-3.2482,0.1525
44.854438,-0.1950,-0.1351,-0.0049,0.3707,-3.2482,0.1525
44.857270,0.1625,-0.1707,-0.4222,0.3707,-3.2482,0.1525
44.874537,0.1625,-0.1707,-0.4222,0.0702,-2.9936,0.1347
44.922400,0.1625,-0.1707,-0.4222,0.0702,-2.9936,0.1347
44.925171,0.5827,0.0785,-0.9226,0.0702,-2.9936,0.1347
44.941238,0.5827,0.0785,-0.9226,-0.1812,-2.9168,0.0851
44.990053,0.5827,0.0785,-0.9226,-0.1812,-2.9168,0.0851
44.993706,0.8097,0.0479,-0.9664,-0.1812,-2.9168,0.0851
45.010123,0.8097,0.0479,-0.9664,-0.3166,-2.6526,0.0633
45.057291,0.8097,0.0479,-0.9664,-0.3166,-2.6526,0.0633
45.060906,0.6554,-0.0823,-0.7377,-0.3166,-2.6526,0.0633
45.080954,0.6554,-0.0823,-0.7377,-0.1737,-2.6417,-0.1149
45.126064,0.6554,-0.0823,-0.7377,-0.1737,-2.6417,-0.1149
45.128708,1.1875,-0.1330,-0.1557,-0.1737,-2.6417,-0.1149
45.144470,1.1875,-0.1330,-0.1557,-0.0801,-2.5297,-0.1770
45.193031,1.1875,-0.1330,-0.1557,-0.0801,-2.5297,-0.1770
45.197445,0.9624,-0.0984,-0.1189,-0.0801,-2.5297,-0.1770
45.211701,0.9624,-0.0984,-0.1189,-0.2328,-1.5184,0.0235
45.261252,0.9624,-0.0984,-0.1189,-0.2328,-1.5184,0.0235
45.265510,0.7510,-0.0567,-0.3096,-0.2328,-1.5184,0.0235
45.284308,0.7510,-0.0567,-0.3096,-0.0946,-1.6724,-0.3024
45.330731,0.7510,-0.0567,-0.3096,-0.0946,-1.6724,-0.3024
45.334130,1.2265,-0.0326,0.2467,-0.0946,-1.6724,-0.3024
45.350506,1.2265,-0.0326,0.2467,-0.0358,-1.7331,-0.3966
45.397075,1.2265,-0.0326,0.2467,-0.0358,-1.7331,-0.3966
45.400521,0.1536,-0.2486,-0.2718,-0.0358,-1.7331,-0.3966
45.416072,0.1536,-0.2486,-0.2718,-0.2548,-1.2380,-0.0147
45.475286,0.1536,-0.2486,-0.2718,-0.2548,-1.2380,-0.0147
45.479316,-0.1792,-0.3103,-0.1058,-0.2548,-1.2380,-0.0147
45.496647,-0.1792,-0.3103,-0.1058,-0.2964,-0.8582,0.0586
45.543206,-0.1792,-0.3103,-0.1058,-0.2964,-0.8582,0.0586
45.547386,0.4737,-0.0869,-0.2030,-0.2964,-0.8582,0.0586
45.561831,0.4737,-0.0869,-0.2030,-0.1868,-0.5721,0.0779
45.611108,0.4737,-0.0869,-0.2030,-0.1868,-0.5721,0.0779
45.616706,0.2831,-0.1893,0.3852,-0.1868,-0.5721,0.0779
45.631151,0.2831,-0.1893,0.3852,-0.0810,-0.3573,0.1446
45.677531,0.2831,-0.1893,0.3852,-0.0810,-0.3573,0.1446
45.680801,-0.0461,-0.2577,0.2387,-0.0810,-0.3573,0.1446
45.696874,-0.0461,-0.2577,0.2387,-0.0279,-0.1477,0.1537
45.746254,-0.0461,-0.2577,0.2387,-0.0279,-0.1477,0.1537
45.749571,0.0941,-0.2227,0.2923,-0.0279,-0.1477,0.1537
45.766062,0.0941,-0.2227,0.2923,0.0564,0.0075,0.0176
45.814924,0.0941,-0.2227,0.2923,0.0564,0.0075,0.0176
45.818126,0.5096,-0.1118,0.3858,0.0564,0.0075,0.0176
45.833623,0.5096,-0.1118,0.3858,0.0901,0.0010,-0.0276
45.882786,0.5096,-0.1118,0.3858,0.0901,0.0010,-0.0276
45.890946,0.2583,-0.1627,0.0954,0.0901,0.0010,-0.0276
45.901325,0.2583,-0.1627,0.0954,0.1018,0.0880,-0.0306
45.950011,0.2583,-0.1627,0.0954,0.1018,0.0880,-0.0306
45.952540,0.0563,-0.1493,0.1697,0.1018,0.0880,-0.0306
45.967827,0.0563,-0.1493,0.1697,0.0925,0.0478,-0.0407
46.016871,0.0563,-0.1493,0.1697,0.0925,0.0478,-0.0407
46.019812,0.0173,-0.1276,0.1750,0.0925,0.0478,-0.0407
46.038055,0.0173,-0.1276,0.1750,0.0606,-0.0059,-0.0130
