time,ax,ay,az,wx,wy,wz
67.955986,-0.0536,-0.1690,0.0504,0.0159,-0.0087,0.0139
68.006340,-0.0536,-0.1690,0.0504,0.0159,-0.0087,0.0139
68.008969,-0.0991,-0.1120,-0.1157,0.0159,-0.0087,0.0139
68.024329,-0.0991,-0.1120,-0.1157,-0.0065,0.0209,0.0034
68.082865,-0.0991,-0.1120,-0.1157,-0.0065,0.0209,0.0034
68.090605,0.0151,-0.1357,-0.0178,-0.0065,0.0209,0.0034
68.101962,0.0151,-0.1357,-0.0178,0.0058,-0.0038,0.0017
68.152512,0.0151,-0.1357,-0.0178,0.0058,-0.0038,0.0017
68.156262,-0.0397,-0.1218,0.0316,0.0058,-0.0038,0.0017
68.171323,-0.0397,-0.1218,0.0316,0.0154,0.0276,0.0120
68.218982,-0.0397,-0.1218,0.0316,0.0154,0.0276,0.0120
68.223008,-0.0658,-0.1243,0.0089,0.0154,0.0276,0.0120
68.238716,-0.0658,-0.1243,0.0089,0.0157,-0.0070,-0.0069
68.289046,-0.0658,-0.1243,0.0089,0.0157,-0.0070,-0.0069
68.291934,-0.0449,-0.1402,-0.0231,0.0157,-0.0070,-0.0069
68.305736,-0.0449,-0.1402,-0.0231,0.0129,0.0061,0.0099
68.354566,-0.0449,-0.1402,-0.0231,0.0129,0.0061,0.0099
68.357252,-0.1042,-0.1828,-0.0501,0.0129,0.0061,0.0099
68.373051,-0.1042,-0.1828,-0.0501,-0.0040,-0.1431,0.0043
68.421371,-0.1042,-0.1828,-0.0501,-0.0040,-0.1431,0.0043
68.424474,-0.1751,-0.0894,-0.1804,-0.0040,-0.1431,0.0043
68.441200,-0.1751,-0.0894,-0.1804,0.0155,-0.3032,0.0127
68.490798,-0.1751,-0.0894,-0.1804,0.0155,-0.3032,0.0127
68.492976,-0.2316,-0.1643,-0.0739,0.0155,-0.3032,0.0127
68.510811,-0.2316,-0.1643,-0.0739,-0.0063,-0.5555,0.1502
68.558446,-0.2316,-0.1643,-0.0739,-0.0063,-0.5555,0.1502
68.561782,-0.7018,-0.1868,-0.1538,-0.0063,-0.5555,0.1502
68.577208,-0.7018,-0.1868,-0.1538,0.0298,-0.7617,0.2148
68.625644,-0.7018,-0.1868,-0.1538,0.0298,-0.7617,0.2148
68.629053,-0.5247,-0.2616,0.0641,0.0298,-0.7617,0.2148
68.645896,-0.5247,-0.2616,0.0641,0.0054,-0.7885,0.2137
68.693598,-0.5247,-0.2616,0.0641,0.0054,-0.7885,0.2137
68.696205,-0.2269,-0.0785,-0.1475,0.0054,-0.7885,0.2137
68.711737,-0.2269,-0.0785,-0.1475,0.0569,-1.2106,0.0950
68.759821,-0.2269,-0.0785,-0.1475,0.0569,-1.2106,0.0950
68.765586,-0.3318,-0.1512,0.0756,0.0569,-1.2106,0.0950
68.781350,-0.3318,-0.1512,0.0756,0.0668,-1.6054,0.1862
68.829400,-0.3318,-0.1512,0.0756,0.0668,-1.6054,0.1862
68.832803,-0.8188,-0.1979,-0.0871,0.0668,-1.6054,0.1862
68.849155,-0.8188,-0.1979,-0.0871,0.0422,-1.4418,0.2305
68.897029,-0.8188,-0.1979,-0.0871,0.0422,-1.4418,0.2305
68.901223,-0.2414,-0.2139,0.0649,0.0422,-1.4418,0.2305
68.916922,-0.2414,-0.2139,0.0649,0.0724,-1.8850,0.0572
68.965182,-0.2414,-0.2139,0.0649,0.0724,-1.8850,0.0572
68.968567,-0.0830,-0.0659,0.0028,0.0724,-1.8850,0.0572
68.985354,-0.0830,-0.0659,0.0028,0.0764,-2.1883,-0.0029
69.042442,-0.0830,-0.0659,0.0028,0.0764,-2.1883,-0.0029
69.046174,-0.1118,-0.1559,0.0839,0.0764,-2.1883,-0.0029
69.062251,-0.1118,-0.1559,0.0839,-0.0815,-2.2771,0.2390
69.100403,-0.1118,-0.1559,0.0839,-0.0815,-2.2771,0.2390
69.102764,-0.5101,-0.1163,-0.4288,-0.0815,-2.2771,0.2390
69.119118,-0.5101,-0.1163,-0.4288,-0.2602,-2.7014,0.1697
69.170763,-0.5101,-0.1163,-0.4288,-0.2602,-2.7014,0.1697
69.174988,0.4073,-0.0426,-0.4133,-0.2602,-2.7014,0.1697
69.197117,0.4073,-0.0426,-0.4133,-0.1562,-3.5465,-0.1594
69.235114,0.4073,-0.0426,-0.4133,-0.1562,-3.5465,-0.1594
69.239210,0.5865,-0.0937,-0.4448,-0.1562,-3.5465,-0.1594
69.255247,0.5865,-0.0937,-0.4448,-0.3278,-3.8219,-0.2750
69.302510,0.5865,-0.0937,-0.4448,-0.3278,-3.8219,-0.2750
69.308307,0.9872,-0.0266,-1.0499,-0.3278,-3.8219,-0.2750
69.322974,0.9872,-0.0266,-1.0499,-0.3478,-3.6067,-0.1626
69.382021,0.9872,-0.0266,-1.0499,-0.3478,-3.6067,-0.1626
69.384711,0.9003,-0.1852,-0.6276,-0.3478,-3.6067,-0.1626
69.400699,0.9003,-0.1852,-0.6276,-0.3396,-2.5443,-0.0093
69.449382,0.9003,-0.1852,-0.6276,-0.3396,-2.5443,-0.0093
69.453403,1.5531,-0.0552,-0.0337,-0.3396,-2.5443,-0.0093
69.467473,1.5531,-0.0552,-0.0337,-0.3438,-1.9131,-0.2069
69.516810,1.5531,-0.0552,-0.0337,-0.3438,-1.9131,-0.2069
69.520205,1.8254,0.0462,0.0631,-0.3438,-1.9131,-0.2069
69.535364,1.8254,0.0462,0.0631,-0.3150,-1.4966,-0.1793
69.591725,1.8254,0.0462,0.0631,-0.3150,-1.4966,-0.1793
69.593869,0.6668,-0.2288,0.1747,-0.3150,-1.4966,-0.1793
69.603264,0.6668,-0.2288,0.1747,-0.2777,-1.1325,-0.0779
69.652272,0.6668,-0.2288,0.1747,-0.2777,-1.1325,-0.0779
69.657223,0.3324,-0.2873,0.1879,-0.2777,-1.1325,-0.0779
69.671728,0.3324,-0.2873,0.1879,-0.2005,-0.7842,-0.0463
69.721926,0.3324,-0.2873,0.1879,-0.2005,-0.7842,-0.0463
69.725976,0.4404,-0.2374,0.2663,-0.2005,-0.7842,-0.0463
69.738705,0.4404,-0.2374,0.2663,-0.1407,-0.6245,-0.0699
69.791945,0.4404,-0.2374,0.2663,-0.1407,-0.6245,-0.0699
69.794551,0.4235,-0.1660,0.1207,-0.1407,-0.6245,-0.0699
69.808540,0.4235,-0.1660,0.1207,0.0021,-0.3822,0.0291
69.858128,0.4235,-0.1660,0.1207,0.0021,-0.3822,0.0291
69.860736,0.2078,-0.2156,0.5420,0.0021,-0.3822,0.0291
69.877211,0.2078,-0.2156,0.5420,0.0293,-0.2344,0.0315
69.923488,0.2078,-0.2156,0.5420,0.0293,-0.2344,0.0315
69.927184,0.2368,-0.1910,0.2013,0.0293,-0.2344,0.0315
69.942896,0.2368,-0.1910,0.2013,0.0248,-0.0775,0.0024
69.992271,0.2368,-0.1910,0.2013,0.0248,-0.0775,0.0024
69.995268,0.3169,-0.1720,0.1341,0.0248,-0.0775,0.0024
70.010537,0.3169,-0.1720,0.1341,-0.0007,0.0340,-0.0296
70.058212,0.3169,-0.1720,0.1341,-0.0007,0.0340,-0.0296
70.062578,0.3639,-0.1047,0.1718,-0.0007,0.0340,-0.0296
70.078988,0.3639,-0.1047,0.1718,0.0016,0.0209,-0.0107
70.126491,0.3639,-0.1047,0.1718,0.0016,0.0209,-0.0107
70.129987,0.1651,-0.1611,-0.0114,0.0016,0.0209,-0.0107
70.146091,0.1651,-0.1611,-0.0114,0.0099,0.0733,-0.0165
70.206443,0.1651,-0.1611,-0.0114,0.0099,0.0733,-0.0165
70.208636,0.1500,-0.1687,0.1563,0.0099,0.0733,-0.0165
70.215618,0.1500,-0.1687,0.1563,0.0220,0.0213,0.0071
70.262611,0.1500,-0.1687,0.1563,0.0220,0.0213,0.0071
70.267359,0.0144,-0.1584,0.0411,0.0220,0.0213,0.0071
70.282635,0.0144,-0.1584,0.0411,-0.0037,0.1094,0.0404
70.341029,0.0144,-0.1584,0.0411,-0.0037,0.1094,0.0404
70.343539,0.1999,-0.1009,0.0060,-0.0037,0.1094,0.0404
70.363497,0.1999,-0.1009,0.0060,-0.0459,-0.0059,-0.0250
70.407541,0.1999,-0.1009,0.0060,-0.0459,-0.0059,-0.0250
70.411814,0.1969,-0.0626,-0.1057,-0.0459,-0.0059,-0.0250
70.429952,0.1969,-0.0626,-0.1057,-0.0239,0.0209,-0.0085
70.475483,0.1969,-0.0626,-0.1057,-0.0239,0.0209,-0.0085
70.481062,0.1753,-0.1739,0.1000,-0.0239,0.0209,-0.0085
70.495206,0.1753,-0.1739,0.1000,-0.0005,0.0101,-0.0238
70.543377,0.1753,-0.1739,0.1000,-0.0005,0.0101,-0.0238
