time,ax,ay,az,wx,wy,wz
59.341069,0.3906,0.5961,-1.4137,0.0054,0.0192,-0.0125
59.343955,0.4456,0.5529,-1.3218,0.0054,0.0192,-0.0125
59.380367,0.4456,0.5529,-1.3218,-0.0093,0.0532,-0.0085
59.407367,0.4456,0.5529,-1.3218,-0.0093,0.0532,-0.0085
59.411008,0.4741,0.5817,-1.4393,-0.0093,0.0532,-0.0085
59.456315,0.4741,0.5817,-1.4393,0.0065,0.0257,-0.0011
59.476980,0.4741,0.5817,-1.4393,0.0065,0.0257,-0.0011
59.479680,0.4069,0.5547,-1.2888,0.0065,0.0257,-0.0011
59.524623,0.4069,0.5547,-1.2888,0.0094,0.0258,-0.0074
59.542382,0.4069,0.5547,-1.2888,0.0094,0.0258,-0.0074
59.549269,0.4113,0.5855,-1.3848,0.0094,0.0258,-0.0074
59.591911,0.4113,0.5855,-1.3848,0.0140,0.0080,0.0045
59.612497,0.4113,0.5855,-1.3848,0.0140,0.0080,0.0045
59.615775,0.3752,0.6009,-1.3716,0.0140,0.0080,0.0045
59.660901,0.3752,0.6009,-1.3716,0.0190,0.0073,-0.0006
59.680164,0.3752,0.6009,-1.3716,0.0190,0.0073,-0.0006
59.683575,0.3778,0.5530,-1.4117,0.0190,0.0073,-0.0006
59.730559,0.3778,0.5530,-1.4117,0.0405,0.0168,0.0402
59.747692,0.3778,0.5530,-1.4117,0.0405,0.0168,0.0402
59.750684,0.3347,0.5030,-1.2604,0.0405,0.0168,0.0402
59.795519,0.3347,0.5030,-1.2604,-0.0166,-0.0040,-0.0015
59.815722,0.3347,0.5030,-1.2604,-0.0166,-0.0040,-0.0015
59.819995,0.4578,0.6511,-1.5794,-0.0166,-0.0040,-0.0015
59.862627,0.4578,0.6511,-1.5794,-0.0269,0.0023,0.0116
59.882054,0.4578,0.6511,-1.5794,-0.0269,0.0023,0.0116
59.893529,0.4101,0.6110,-1.4139,-0.0269,0.0023,0.0116
59.930849,0.4101,0.6110,-1.4139,0.0082,0.0143,0.0024
59.950381,0.4101,0.6110,-1.4139,0.0082,0.0143,0.0024
59.957419,0.4232,0.5476,-1.2519,0.0082,0.0143,0.0024
59.999373,0.4232,0.5476,-1.2519,-0.0007,-0.0073,0.0085
60.018137,0.4232,0.5476,-1.2519,-0.0007,-0.0073,0.0085
60.023051,0.4233,0.5187,-1.3977,-0.0007,-0.0073,0.0085
60.069155,0.4233,0.5187,-1.3977,0.0140,-0.0061,0.0146
60.091235,0.4233,0.5187,-1.3977,0.0140,-0.0061,0.0146
60.093352,0.4242,0.5921,-1.3892,0.0140,-0.0061,0.0146
60.138308,0.4242,0.5921,-1.3892,0.0810,-0.0175,0.0345
60.156523,0.4242,0.5921,-1.3892,0.0810,-0.0175,0.0345
60.160735,0.2577,0.5181,-1.1783,0.0810,-0.0175,0.0345
60.201390,0.2577,0.5181,-1.1783,0.1824,-0.0182,0.0825
60.222046,0.2577,0.5181,-1.1783,0.1824,-0.0182,0.0825
60.226580,0.2538,0.4104,-1.0439,0.1824,-0.0182,0.0825
60.271067,0.2538,0.4104,-1.0439,0.3871,-0.0000,0.1149
60.300882,0.2538,0.4104,-1.0439,0.3871,-0.0000,0.1149
60.304497,0.3112,0.3157,-0.6995,0.3871,-0.0000,0.1149
60.337875,0.3112,0.3157,-0.6995,0.7669,0.0140,0.1891
60.357374,0.3112,0.3157,-0.6995,0.7669,0.0140,0.1891
60.362754,0.1309,0.0671,-0.2008,0.7669,0.0140,0.1891
60.415306,0.1309,0.0671,-0.2008,1.0723,0.0372,0.2392
60.436209,0.1309,0.0671,-0.2008,1.0723,0.0372,0.2392
60.440823,0.1563,-0.1734,0.1209,1.0723,0.0372,0.2392
60.482825,0.1563,-0.1734,0.1209,1.4835,0.0579,0.2437
60.502004,0.1563,-0.1734,0.1209,1.4835,0.0579,0.2437
60.506380,0.1590,-0.5013,0.3885,1.4835,0.0579,0.2437
60.551582,0.1590,-0.5013,0.3885,1.5889,0.3695,0.4308
60.573813,0.1590,-0.5013,0.3885,1.5889,0.3695,0.4308
60.574861,-0.1898,-0.7650,0.8943,1.5889,0.3695,0.4308
60.620666,-0.1898,-0.7650,0.8943,1.7312,0.0829,0.3574
60.638228,-0.1898,-0.7650,0.8943,1.7312,0.0829,0.3574
60.641597,0.0619,-0.5943,0.6430,1.7312,0.0829,0.3574
60.686432,0.0619,-0.5943,0.6430,1.9427,0.0370,0.3406
60.706530,0.0619,-0.5943,0.6430,1.9427,0.0370,0.3406
60.709854,-0.0102,-0.6226,1.0126,1.9427,0.0370,0.3406
60.755063,-0.0102,-0.6226,1.0126,2.1797,0.0862,0.2240
60.773975,-0.0102,-0.6226,1.0126,2.1797,0.0862,0.2240
60.777647,0.3823,-0.6230,1.6512,2.1797,0.0862,0.2240
60.822366,0.3823,-0.6230,1.6512,2.2379,0.1550,0.2033
60.842302,0.3823,-0.6230,1.6512,2.2379,0.1550,0.2033
60.846654,0.1453,-0.5427,1.4812,2.2379,0.1550,0.2033
60.888644,0.1453,-0.5427,1.4812,1.9617,-0.0611,0.1643
60.910943,0.1453,-0.5427,1.4812,1.9617,-0.0611,0.1643
60.915120,0.2360,-0.1189,-0.0574,1.9617,-0.0611,0.1643
60.959413,0.2360,-0.1189,-0.0574,2.2525,0.0710,0.0640
60.978810,0.2360,-0.1189,-0.0574,2.2525,0.0710,0.0640
60.985933,0.1948,-0.1542,1.6235,2.2525,0.0710,0.0640
61.024816,0.1948,-0.1542,1.6235,2.3347,0.2339,-0.0809
61.044866,0.1948,-0.1542,1.6235,2.3347,0.2339,-0.0809
61.057201,0.4350,0.0942,1.1855,2.3347,0.2339,-0.0809
61.094137,0.4350,0.0942,1.1855,2.0752,0.0323,-0.0285
61.112275,0.4350,0.0942,1.1855,2.0752,0.0323,-0.0285
61.120610,0.4113,0.3910,0.0701,2.0752,0.0323,-0.0285
61.162163,0.4113,0.3910,0.0701,1.9832,0.0410,-0.0329
61.182671,0.4113,0.3910,0.0701,1.9832,0.0410,-0.0329
61.190304,-0.0613,0.3741,0.3318,1.9832,0.0410,-0.0329
61.238420,-0.0613,0.3741,0.3318,1.9029,-0.0415,-0.1224
61.259911,-0.0613,0.3741,0.3318,1.9029,-0.0415,-0.1224
61.263589,-0.1044,0.5366,0.0920,1.9029,-0.0415,-0.1224
61.306017,-0.1044,0.5366,0.0920,1.7703,0.0005,-0.0002
61.324942,-0.1044,0.5366,0.0920,1.7703,0.0005,-0.0002
61.330041,-0.1338,0.5213,-0.5614,1.7703,0.0005,-0.0002
61.374943,-0.1338,0.5213,-0.5614,1.9300,-0.3145,0.0025
61.393163,-0.1338,0.5213,-0.5614,1.9300,-0.3145,0.0025
