time,ax,ay,az,wx,wy,wz
29.362243,-0.0145,0.7121,-1.9474,0.0120,0.0009,-0.0341
29.381077,-0.0145,0.7121,-1.9474,0.0120,0.0009,-0.0341
29.385451,0.1913,0.5492,-1.6173,0.0120,0.0009,-0.0341
29.428236,0.1913,0.5492,-1.6173,0.0098,0.0115,-0.0151
29.448903,0.1913,0.5492,-1.6173,0.0098,0.0115,-0.0151
29.452333,-0.0169,0.5942,-1.8168,0.0098,0.0115,-0.0151
29.496670,-0.0169,0.5942,-1.8168,-0.0267,0.0038,-0.0147
29.516244,-0.0169,0.5942,-1.8168,-0.0267,0.0038,-0.0147
29.522744,0.0724,0.6549,-1.8204,-0.0267,0.0038,-0.0147
29.564870,0.0724,0.6549,-1.8204,-0.0632,0.0295,0.0036
29.594652,0.0724,0.6549,-1.8204,-0.0632,0.0295,0.0036
29.599029,0.0502,0.6834,-1.9701,-0.0632,0.0295,0.0036
29.631652,0.0502,0.6834,-1.9701,-0.0215,0.0047,-0.0137
29.652449,0.0502,0.6834,-1.9701,-0.0215,0.0047,-0.0137
29.656582,0.0645,0.6282,-1.6032,-0.0215,0.0047,-0.0137
29.711593,0.0645,0.6282,-1.6032,-0.0251,0.0157,-0.0051
29.720055,0.0645,0.6282,-1.6032,-0.0251,0.0157,-0.0051
29.724881,0.0581,0.6693,-1.7921,-0.0251,0.0157,-0.0051
29.777610,0.0581,0.6693,-1.7921,-0.0543,0.0099,0.0188
29.796947,0.0581,0.6693,-1.7921,-0.0543,0.0099,0.0188
29.800794,-0.0678,0.7228,-1.8731,-0.0543,0.0099,0.0188
29.847030,-0.0678,0.7228,-1.8731,-0.0843,0.0024,-0.0121
29.865957,-0.0678,0.7228,-1.8731,-0.0843,0.0024,-0.0121
29.869660,0.0660,0.7397,-1.9600,-0.0843,0.0024,-0.0121
29.914947,0.0660,0.7397,-1.9600,-0.1086,0.0007,-0.0123
29.935946,0.0660,0.7397,-1.9600,-0.1086,0.0007,-0.0123
29.941382,0.0300,0.7131,-1.9424,-0.1086,0.0007,-0.0123
29.981377,0.0300,0.7131,-1.9424,-0.1248,0.0119,-0.0102
30.001671,0.0300,0.7131,-1.9424,-0.1248,0.0119,-0.0102
30.004273,0.0306,0.7264,-1.8654,-0.1248,0.0119,-0.0102
30.048370,0.0306,0.7264,-1.8654,0.0026,0.0019,-0.0030
30.068132,0.0306,0.7264,-1.8654,0.0026,0.0019,-0.0030
30.073321,0.0966,0.6274,-1.4805,0.0026,0.0019,-0.0030
30.117831,0.0966,0.6274,-1.4805,0.0328,0.0003,-0.0165
30.136936,0.0966,0.6274,-1.4805,0.0328,0.0003,-0.0165
30.142880,0.1339,0.5396,-1.5917,0.0328,0.0003,-0.0165
30.185036,0.1339,0.5396,-1.5917,0.1223,0.0038,0.0073
30.206133,0.1339,0.5396,-1.5917,0.1223,0.0038,0.0073
30.207869,-0.0067,0.5429,-1.5371,0.1223,0.0038,0.0073
