time,ax,ay,az,wx,wy,wz
38.321164,0.1017,0.0820,-0.1012,0.0028,0.0005,-0.0091
38.340888,0.1017,0.0820,-0.1012,0.0028,0.0005,-0.0091
38.344457,0.0011,0.0995,0.2649,0.0028,0.0005,-0.0091
38.388614,0.0011,0.0995,0.2649,-0.0124,-0.0040,-0.0022
38.410605,0.0011,0.0995,0.2649,-0.0124,-0.0040,-0.0022
38.415424,-0.0604,0.2010,-0.0405,-0.0124,-0.0040,-0.0022
38.457234,-0.0604,0.2010,-0.0405,-0.0019,0.0154,0.0099
38.476385,-0.0604,0.2010,-0.0405,-0.0019,0.0154,0.0099
38.480342,0.0576,0.1123,0.0534,-0.0019,0.0154,0.0099
38.524981,0.0576,0.1123,0.0534,-0.0175,0.0251,-0.0125
38.545078,0.0576,0.1123,0.0534,-0.0175,0.0251,-0.0125
38.552280,0.0363,0.1173,-0.1167,-0.0175,0.0251,-0.0125
38.591621,0.0363,0.1173,-0.1167,0.0279,-0.0082,0.0190
38.612084,0.0363,0.1173,-0.1167,0.0279,-0.0082,0.0190
38.617760,-0.0969,0.1001,0.1545,0.0279,-0.0082,0.0190
38.659911,-0.0969,0.1001,0.1545,0.0124,0.0059,-0.0044
38.680286,-0.0969,0.1001,0.1545,0.0124,0.0059,-0.0044
38.685040,0.1170,0.1046,-0.0456,0.0124,0.0059,-0.0044
38.738276,0.1170,0.1046,-0.0456,-0.0457,-0.0021,-0.0076
38.757497,0.1170,0.1046,-0.0456,-0.0457,-0.0021,-0.0076
38.760340,0.0154,0.0457,-0.0747,-0.0457,-0.0021,-0.0076
38.804482,0.0154,0.0457,-0.0747,-0.0689,-0.0457,-0.0280
38.825676,0.0154,0.0457,-0.0747,-0.0689,-0.0457,-0.0280
38.834171,0.0943,0.0554,-0.0967,-0.0689,-0.0457,-0.0280
38.872995,0.0943,0.0554,-0.0967,-0.1227,-0.0297,-0.0149
38.891924,0.0943,0.0554,-0.0967,-0.1227,-0.0297,-0.0149
38.896290,0.0164,-0.0095,-0.0064,-0.1227,-0.0297,-0.0149
38.940594,0.0164,-0.0095,-0.0064,-0.2426,-0.0024,0.0502
38.959619,0.0164,-0.0095,-0.0064,-0.2426,-0.0024,0.0502
38.964015,-0.1689,0.0203,-0.3311,-0.2426,-0.0024,0.0502
39.008185,-0.1689,0.0203,-0.3311,-0.3482,-0.0354,0.0971
39.030213,-0.1689,0.0203,-0.3311,-0.3482,-0.0354,0.0971
39.033468,-0.1130,-0.1488,0.0764,-0.3482,-0.0354,0.0971
39.075566,-0.1130,-0.1488,0.0764,-0.7041,-0.0606,0.0771
39.095406,-0.1130,-0.1488,0.0764,-0.7041,-0.0606,0.0771
39.099700,0.0141,-0.1631,-0.8761,-0.7041,-0.0606,0.0771
39.143084,0.0141,-0.1631,-0.8761,-1.0050,-0.1649,-0.1668
39.164446,0.0141,-0.1631,-0.8761,-1.0050,-0.1649,-0.1668
39.172495,0.7422,-0.6472,-0.2933,-1.0050,-0.1649,-0.1668
39.211763,0.7422,-0.6472,-0.2933,-1.2851,0.0059,0.1137
39.231351,0.7422,-0.6472,-0.2933,-1.2851,0.0059,0.1137
39.238825,-0.3386,-0.9025,-0.8481,-1.2851,0.0059,0.1137
39.279827,-0.3386,-0.9025,-0.8481,-1.3539,0.0832,0.2897
39.300060,-0.3386,-0.9025,-0.8481,-1.3539,0.0832,0.2897
39.309178,-0.4331,-1.1487,0.3196,-1.3539,0.0832,0.2897
39.348775,-0.4331,-1.1487,0.3196,-1.6280,0.2210,0.2694
39.367260,-0.4331,-1.1487,0.3196,-1.6280,0.2210,0.2694
39.374533,0.0233,-1.2370,-0.5450,-1.6280,0.2210,0.2694
